id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
600795,London Zone1 LOFT 1Bed/1Lounge flat,485861,Lara,,Tower Hamlets,51.512389548622686,-0.06366919786089295,Entire home/apt,89,2,62,2015-02-25,2.1,8,355
4530027,Double room 20mins to Oxford Street,23486604,Jasmine,,Barnet,51.61538039607667,-0.14485238335661887,Shared room,100,1,0,,,1,365
896177,Cosy room for 1 or 2 in Kennington,4777568,Cameron,,Southwark,51.49139682325819,-0.10290887455343682,Private room,65,2,9,2013-10-12,0.4,1,352
3770567,Double Room with large garden,11255553,Mike,,Islington,51.54761005745551,-0.098068204479016,Private room,45,1,0,,,1,221
4292560,Superb 3BR House Notting Hill VP,1432477,Maxime And Fanny,,Kensington and Chelsea,51.51825525223063,-0.2063909985534367,Entire home/apt,399,2,10,2015-03-01,1.8,100,290
5333594,Luxurious 1 Bed 1st floor apartment,27318659,Santokh,,Tower Hamlets,51.524008401910095,-0.07225209749778924,Entire home/apt,109,2,0,,,5,355
1483604,2 Bed Flat & Garden London Sulgrave,3552072,Diego,,Hammersmith and Fulham,51.498500097500596,-0.224730600718336,Entire home/apt,110,1,58,2015-03-03,2.9,6,325
3906945,FANTASTIC TRIPLE ROOM WITH ENSUITE,10321483,Jaime,,Hammersmith and Fulham,51.48508066018881,-0.21683661040134616,Private room,80,1,1,2015-03-23,1,2,252
397504,Cool Casa Chelsea,1986197,Wills,,Kensington and Chelsea,51.48151617917089,-0.18192655887497847,Private room,60,2,153,2015-01-02,4.2,1,356
3519290,"Large Double room, en suite",6372543,Andrew,,Newham,51.547575915495415,-0.015186916102702692,Private room,59,2,9,2015-03-19,1.0,1,358
4665203,Clapham High Street,24138574,Luke,,Lambeth,51.462021506841786,-0.13363474664602884,Entire home/apt,85,1,0,,,1,106
4774359,Lovely room 10 min to the center!,24624191,Elena,,Lambeth,51.46241568673644,-0.13304149943185528,Private room,72,1,0,,,1,94
3537594,Fabulous 2 Bed Apt St James Park,17810249,Tom,,Westminster,51.49855045038266,-0.13478967991060933,Entire home/apt,159,3,10,2014-11-17,1.3,1,241
4152678,Cosy double bedroom in Highgate ,21102788,Maya,,Islington,51.56386718268404,-0.13836906561050288,Private room,50,1,0,,,3,64
2230438,Two Bed Flat near Wimbledon Tennis,11384563,Antony,,Wandsworth,51.44718128331917,-0.2170724893359409,Entire home/apt,130,5,1,2014-07-07,0.1,1,93
64988,Fab Studio Near Broadway Market,317695,Franny,,Hackney,51.54431123500154,-0.0660948161904676,Private room,75,2,58,2014-10-18,1.1,1,281
4750274,Cozy double room in a perfect Area,6043634,Jordi,,Hackney,51.531952575077966,-0.0870233110626304,Private room,30,2,0,,,1,97
5528621,Perfect room in a 4-bed house,12752574,Anna,,Lambeth,51.493200237948066,-0.11038859403936546,Private room,50,1,0,,,1,281
975807,Brixton stylish 2 bedroom apartment,1261251,Florence,,Lambeth,51.469197332665054,-0.09756998102354723,Entire home/apt,110,4,10,2014-12-31,0.4,1,253
1372135,Fab Location//2 Bed Flat Kennington,7438493,Sally,,Lambeth,51.48909935778062,-0.1122620879069204,Entire home/apt,95,4,10,2015-01-02,0.5,1,71
1933558,The Amazing Two bedroom apartment 3,1482187,Jammie,,Westminster,51.51586313550011,-0.18045219966974024,Entire home/apt,250,1,35,2015-03-30,2.3,7,310
4421811,Cosy Victorian Brixton Home,22953045,Jennifer,,Lambeth,51.45700233409652,-0.11955072023374341,Entire home/apt,135,2,5,2015-03-29,1.6,1,99
3574342,"Spacious, light and airy 2bed flat",17999268,Kirsty,,Lewisham,51.43494918186855,-0.035183272447296084,Entire home/apt,80,1,0,,,1,242
3895679,Ensuite Large Double in Marble Arch,20164642,Anshu,,Westminster,51.517218322226064,-0.16282449433777552,Private room,60,1,0,,,1,207
3511341,Luxury bedroom-Hyper central London,17679198,Tomas,,Westminster,51.500354736229276,-0.15787596267321424,Private room,90,3,26,2015-04-06,3.1,1,278
4772551,Little Venice flat with a view,9399733,Diego,,Westminster,51.52434547152948,-0.17699305106817143,Entire home/apt,100,1,0,,,2,137
4132266,Room 2,14198413,Alec,,Westminster,51.48758681892491,-0.14013812932753614,Private room,90,1,0,,,2,175
3158800,Marylebone 2 bedroom stunning apart,1464293,Evija,,Westminster,51.52373268805947,-0.16145395560602982,Entire home/apt,256,1,0,,,1,345
3278851,Large one bedroom warehouse flat,16573759,Vicenç,,Hackney,51.52189812854477,-0.08270077541635922,Entire home/apt,120,3,9,2014-12-23,1.0,1,365
